eval_log_id,timestamp,favor,answer_id,user_id
54,"2023-01-26 11:14:57.136051",1,a013710,10
55,"2023-01-26 11:31:07.709856",1,a011466,14
56,"2023-01-26 11:31:13.146974",1,a009328,14
57,"2023-01-26 11:31:45.829001",1,a014508,14
58,"2023-01-26 11:31:52.491718",1,a006020,14
59,"2023-01-26 11:32:12.612809",1,a001369,14
60,"2023-01-26 11:32:58.919008",1,a006479,14
61,"2023-01-26 11:42:54.941570",0,a015897,14
62,"2023-01-26 11:55:59.707780",1,a001368,14
63,"2023-01-26 11:56:43.787436",1,a011280,14
64,"2023-01-26 12:15:47.525152",1,a007639,24
65,"2023-01-26 12:22:04.691536",1,a012618,6
66,"2023-01-26 12:51:29.463593",1,a004946,6
67,"2023-01-26 12:52:01.402294",1,a001171,6
68,"2023-01-26 13:06:37.166617",1,a014736,8
69,"2023-01-26 13:09:01.798423",1,a010688,28
70,"2023-01-26 14:18:52.539882",1,a012417,31
71,"2023-01-26 14:20:01.944979",1,a015325,31
72,"2023-01-26 14:25:05.989084",1,a010973,31
73,"2023-01-26 14:33:54.106882",0,a015641,35
74,"2023-01-26 14:34:33.197664",1,a011661,31
75,"2023-01-26 14:35:19.510846",1,a015640,35
76,"2023-01-26 14:36:38.045655",1,a012957,35
77,"2023-01-26 14:51:05.906943",0,a008701,35
78,"2023-01-26 14:51:48.254798",1,a000325,35
79,"2023-01-26 15:07:40.671379",1,a014892,35
80,"2023-01-26 15:47:58.944527",0,a012868,35
81,"2023-01-26 15:48:14.121615",0,a012618,35
82,"2023-01-26 15:48:29.218129",0,a012704,35
83,"2023-01-26 15:49:59.734574",0,a001370,35
84,"2023-01-26 15:57:31.871588",0,a015786,35
85,"2023-01-26 16:00:18.500467",1,a002675,35
86,"2023-01-26 16:00:53.864284",1,a001120,35
87,"2023-01-26 16:06:04.492754",1,a012511,1
88,"2023-01-26 16:06:39.082338",1,a007590,7
89,"2023-01-26 16:09:09.794797",1,a016187,7
90,"2023-01-26 20:21:50.889839",0,a004462,9
91,"2023-01-26 20:23:03.868417",1,a009128,9
92,"2023-01-26 20:23:55.873149",1,a001370,9
93,"2023-01-26 20:24:54.478870",1,a013634,9
94,"2023-01-26 20:26:25.711456",1,a000569,9
95,"2023-01-26 20:29:05.064607",1,a011277,9
96,"2023-01-26 20:29:31.471283",1,a009533,9
97,"2023-01-26 20:30:22.692958",1,a009929,9
98,"2023-01-26 20:31:54.064106",1,a006158,9
99,"2023-01-26 20:32:52.737204",1,a004368,9
100,"2023-01-26 20:33:44.101256",0,a007418,9
101,"2023-01-26 20:35:39.983120",1,a005477,9
102,"2023-01-26 20:36:19.153088",0,a000298,9
103,"2023-01-27 04:34:16.800864",0,a004462,50
104,"2023-01-27 04:42:44.064751",1,a010200,50
105,"2023-01-27 04:47:44.330388",1,a009235,50
106,"2023-01-27 06:13:15.935393",1,a013634,64
107,"2023-01-27 06:21:49.626461",1,a016187,65
108,"2023-01-27 06:28:07.139627",1,a004368,22
109,"2023-01-27 06:28:58.153754",1,a013217,22
110,"2023-01-27 06:41:44.244165",0,a004462,67
111,"2023-01-27 06:45:25.703602",1,a005629,22
112,"2023-01-27 08:55:08.808120",0,a013533,76
113,"2023-01-27 09:51:55.127500",1,a008993,82
114,"2023-01-27 11:20:29.679939",1,a009685,50
115,"2023-01-27 12:39:29.265687",1,a009931,40
116,"2023-01-28 14:07:35.718426",1,a000831,100
117,"2023-01-29 01:19:50.251224",1,a013634,40
